time (seconds),strain * 1.e21
0.25,0.0245479188439522
0.25006103515625,0.0152926826819718
0.2501220703125,0.0063723372094587
0.25018310546875,-0.0020750095456247
0.250244140625,-0.0098890932465001
0.25030517578125,-0.0169035546680216
0.2503662109375,-0.0229640189514331
0.25042724609375,-0.0279459400950965
0.25048828125,-0.0317698342009549
0.25054931640625,-0.03441166524283
0.2506103515625,-0.0359066318380267
0.25067138671875,-0.0363455155957145
0.250732421875,-0.0358639676697311
0.25079345703125,-0.0346262959989653
0.2508544921875,-0.0328062040242213
0.25091552734375,-0.0305674520807898
0.2509765625,-0.0280475030118772
0.25103759765625,-0.0253467393292138
0.2510986328125,-0.0225248266390593
0.25115966796875,-0.0196045459121473
0.251220703125,-0.0165822320693851
0.25128173828125,-0.0134429440857971
0.2513427734375,-0.0101777283916344
0.25140380859375,-0.0068000151270222
0.25146484375,-0.0033584178728238
0.25152587890625,5.612875390087322e-05
0.2515869140625,0.0033100525694084
0.25164794921875,0.0062337803005144
0.251708984375,0.008634456847903
0.25177001953125,0.0103130861584028
0.2518310546875,0.0110839264644864
0.25189208984375,0.0107937064763147
0.251953125,0.0093382191395123
0.25201416015625,0.006674183650798
0.2520751953125,0.0028249236424559
0.25213623046875,-0.0021207766447818
0.252197265625,-0.0080164641232538
0.25225830078125,-0.0146715356571701
0.2523193359375,-0.0218689170984614
0.25238037109375,-0.0293848428191823
0.25244140625,-0.0370083593266163
0.25250244140625,-0.0445580510609591
0.2525634765625,-0.0518936524795151
0.25262451171875,-0.0589208032499561
0.252685546875,-0.065588207805769
0.25274658203125,-0.071877674802687
0.2528076171875,-0.0777887017613302
0.25286865234375,-0.0833202459552393
0.2529296875,-0.0884528824132318
0.25299072265625,-0.0931345191693338
0.2530517578125,-0.0972722296351587
0.25311279296875,-0.1007317756400899
0.253173828125,-0.1033452227245056
0.25323486328125,-0.1049257734020119
0.2532958984375,-0.1052877228764401
0.25335693359375,-0.104268600779328
0.25341796875,-0.1017503184502857
0.25347900390625,-0.0976764064312826
0.2535400390625,-0.092063035519642
0.25360107421875,-0.0850024208535555
0.253662109375,-0.0766583253075393
0.25372314453125,-0.0672544572574505
0.2537841796875,-0.0570573797754934
0.25384521484375,-0.0463560918010052
0.25390625,-0.0354407676648954
0.25396728515625,-0.024583230495386
0.2540283203125,-0.0140215127371779
0.25408935546875,-0.0039502934120288
0.254150390625,0.0054818607327943
0.25421142578125,0.0141685573987013
0.2542724609375,0.0220360330370797
0.25433349609375,0.0290298078785307
0.25439453125,0.0350997688814081
0.25445556640625,0.0401860898800004
0.2545166015625,0.0442083227591591
0.25457763671875,0.0470595873333769
0.254638671875,0.0486071105604296
0.25469970703125,0.04869955938072
0.2547607421875,0.0471806922922874
0.25482177734375,0.0439077997627703
0.2548828125,0.0387724220560609
0.25494384765625,0.0317202792498587
0.2550048828125,0.0227673639563605
0.25506591796875,0.0120096231168621
0.255126953125,-0.0003755044751928
0.25518798828125,-0.0141362467046043
0.2552490234375,-0.0289615323558221
0.25531005859375,-0.0445018459196615
0.25537109375,-0.0603930304636632
0.25543212890625,-0.0762798432321313
0.2554931640625,-0.091836225783927
0.25555419921875,-0.1067798782924793
0.255615234375,-0.1208797203813302
0.25567626953125,-0.133955929712037
0.2557373046875,-0.1458732573708982
0.25579833984375,-0.1565291645635489
0.255859375,-0.1658389776006751
0.25592041015625,-0.173720611374464
0.2559814453125,-0.1800813945940082
0.25604248046875,-0.1848091860221414
0.256103515625,-0.187769355563884
0.25616455078125,-0.1888083404822756
0.2562255859375,-0.1877634826687017
0.25628662109375,-0.184477932343356
0.25634765625,-0.178818736202447
0.25640869140625,-0.1706958258781199
0.2564697265625,-0.1600794624412257
