,time (seconds),strain * 1.e21
0,0.25004979725000004,0.00048257755347406577
1,0.25011083240625004,0.0003430744407868813
2,0.25017186756250004,0.00027601897452340007
3,0.25023290271875004,0.0002820404899486352
4,0.25029393787500004,0.00036150777139551377
5,0.25035497303125004,0.0005145207245980064
6,0.25041600818750004,0.0007408910156458206
7,0.25047704334375004,0.0010401122999834376
8,0.25053807850000004,0.0014113225293908027
9,0.25059911365625004,0.0018532623526345312
10,0.25066014881250004,0.0023642345871050245
11,0.25072118396875004,0.0029420699883034407
12,0.25078221912500004,0.0035841040406695587
13,0.25084325428125004,0.004287168307327554
14,0.25090428943750004,0.005047598179144509
15,0.25096532459375004,0.005861256901898989
16,0.25102635975000004,0.006723573820286139
17,0.25108739490625004,0.007629593141654401
18,0.25114843006250004,0.008574028428436166
19,0.25120946521875004,0.009551317633615834
20,0.25127050037500004,0.010555673852158215
21,0.25133153553125004,0.01158112801549188
22,0.25139257068750004,0.012621561345357796
23,0.25145360584375004,0.0136707272679259
24,0.25151464100000004,0.014722264385799514
25,0.25157567615625004,0.015769703729545535
26,0.25163671131250004,0.016806474617571187
27,0.25169774646875004,0.017825913876293006
28,0.25175878162500004,0.018821282846150367
29,0.25181981678125004,0.01978579556917529
30,0.25188085193750004,0.02071265997136752
31,0.25194188709375004,0.021595131951347504
32,0.25200292225000004,0.02242658034689776
33,0.25206395740625004,0.023200559060579332
34,0.25212499256250004,0.023910881435817183
35,0.25218602771875004,0.02455169146331536
36,0.25224706287500004,0.025117526642093706
37,0.25230809803125004,0.02560336828603132
38,0.25236913318750004,0.026004676615220126
39,0.25243016834375004,0.02631740987549796
40,0.25249120350000004,0.026538028710706367
41,0.25255223865625004,0.02666348878080524
42,0.25261327381250004,0.026691225916997692
43,0.25267430896875004,0.026619138744414787
44,0.25273534412500004,0.02644557359336477
45,0.25279637928125004,0.026169315682468972
46,0.25285741443750004,0.025789589119992063
47,0.25291844959375004,0.025306066451036665
48,0.25297948475000004,0.024718886552324276
49,0.25304051990625004,0.0240286779332582
50,0.25310155506250004,0.02323658320494952
51,0.25316259021875004,0.022344279824776967
52,0.25322362537500004,0.02135399231429927
53,0.25328466053125004,0.02026849197382672
54,0.25334569568750004,0.01909108155929163
55,0.25340673084375004,0.017825564236001464
56,0.25346776600000004,0.01647619810845785
57,0.25352880115625004,0.01504763945408185
58,0.25358983631250004,0.013544879192361232
59,0.25365087146875004,0.011973177892994367
60,0.25371190662500004,0.010338004653451045
61,0.25377294178125004,0.008644984454315765
62,0.25383397693750004,0.006899857236615086
63,0.25389501209375004,0.005108450140562409
64,0.25395604725000004,0.003276662366179263
65,0.25401708240625004,0.0014104602549243517
66,0.25407811756250004,-0.00048412127811395153
67,0.25413915271875004,-0.002400975693979657
68,0.25420018787500004,-0.004333925023205759
69,0.25426122303125004,-0.006276727544009042
70,0.25432225818750004,-0.008223095911421511
71,0.25438329334375004,-0.010166726965603192
72,0.25444432850000004,-0.012101342507863388
73,0.25450536365625004,-0.01402073848230576
74,0.25456639881250004,-0.015918838517423227
75,0.25462743396875004,-0.01778974688904633
76,0.25468846912500004,-0.019627795799936783
77,0.25474950428125004,-0.021427582460408386
78,0.25481053943750004,-0.023183992715005045
79,0.25487157459375004,-0.02489220970908373
